#galaxy completeness(150pc) mass(log10_Msun)
circinus 77.7 10.53
NGC0253 85.8 10.64
NGC0628 64.5 10.34
NGC1068 - 10.91
NGC1087 67.5 9.94
NGC1097 82.7 10.76
NGC1365 76.4 11.00
NGC1433 57.3 10.87
NGC1511 81.0 9.92
NGC1559 64.5 10.37
NGC1566 92.3 10.79
NGC1637 83.5 9.95
NGC1672 - 10.73
NGC2775 33.0 11.07
NGC2997 80.9 10.73
NGC3239 0.9F 9.18
NGC3627 85.3 10.84
NGC4254 82.4 10.42
NGC4303 73.1 10.51
NGC4321 72.2 10.75
NGC4424 69.4 9.93
NGC4457 80.7 10.42
NGC4496A 29.2 9.55
NGC4536 84.7 10.40
NGC4579 - 11.15
NGC4945 87.1 10.36
NGC5128 76.8 10.97
NGC5236 92.1 10.53
NGC5530 57.3 10.08
NGC6744 60.3 10.72
NGC7793 32.3 9.36
