#Galaxy, TelOrient
circinus, 7m+tp 
ic1954, 12m+7m+tp
ic5273, 12m+7m+tp
ic5332, 12m+7m+tp
ngc0247, 7m+tp
ngc0253, 7m+tp
ngc0300, 7m+tp
ngc0628, 12m+7m+tp
ngc0685, 12m+7m+tp
ngc1068, 7m+tp
ngc1087, 12m+7m+tp
ngc1097, 12m+7m+tp
ngc1300, 12m+7m+tp
ngc1317, 12m+7m+tp
ngc1365, 12m+7m+tp
ngc1385, 12m+7m+tp
ngc1433, 12m+7m+tp
ngc1511, 12m+7m+tp
ngc1512, 12m+7m+tp
ngc1546, 12m+7m+tp
ngc1559, 12m+7m+tp
ngc1566, 12m+7m+tp
ngc1637, 12m+7m+tp
ngc1672, 12m+7m+tp
ngc1792, 12m+7m+tp
ngc1809, 12m+7m+tp
ngc2090, 12m+7m+tp
ngc2283, 12m+7m+tp
ngc2566, 12m+7m+tp
ngc2775, 12m+7m+tp
ngc2835, 12m+7m+tp
ngc2903, 12m+7m+tp
ngc2997, 12m+7m+tp
ngc3059, 12m+7m+tp
ngc3137, 12m+7m+tp
ngc3239, 12m+7m+tp
ngc3351, 12m+7m+tp
ngc3489, 12m+7m+tp
ngc3507, 12m+7m+tp
ngc3511, 12m+7m+tp
ngc3521, 12m+7m+tp
ngc3596, 12m+7m+tp
ngc3599, 12m+7m+tp
ngc3621, 12m+7m+tp
ngc3626, 12m+7m+tp
ngc3627, 12m+7m+tp
ngc4207, 12m+7m+tp
ngc4254, 12m+7m+tp
ngc4293, 12m+7m+tp
ngc4298, 12m+7m+tp
ngc4303, 12m+7m+tp
ngc4321, 12m+7m+tp
ngc4424, 12m+7m+tp
ngc4457, 12m+7m+tp
ngc4459, 12m+7m+tp
ngc4476, 12m+7m+tp
ngc4477, 12m+7m+tp
ngc4496a, 12m+7m+tp
ngc4535, 12m+7m+tp
ngc4536, 12m+7m+tp
ngc4540, 12m+7m+tp
ngc4548, 12m+7m+tp
ngc4569, 12m+7m+tp
ngc4571, 12m+7m+tp
ngc4579, 12m+7m+tp
ngc4596, 12m+7m+tp
ngc4654, 12m+7m+tp
ngc4689, 12m+7m+tp
ngc4694, 12m+7m+tp
ngc4731, 12m+7m+tp
ngc4781, 12m+7m+tp
ngc4826, 12m+7m+tp
ngc4941, 12m+7m+tp
ngc4945, 7m+tp
ngc4951, 12m+7m+tp
ngc5042, 12m+7m+tp
ngc5068, 12m+7m+tp
ngc5128, 7m+tp
ngc5134, 12m+7m+tp
ngc5236, 12m+7m+tp
ngc5248, 12m+7m+tp
ngc5530, 12m+7m+tp
ngc5643, 12m+7m+tp
ngc6300, 12m+7m+tp
ngc6744, 12m+7m+tp
ngc7456, 12m+7m+tp
ngc7496, 12m+7m+tp
ngc7743, 12m+7m+tp
ngc7793, 7m+tp
