#Galaxy,Supernova,Ra,Dec,xCoord,yCoord,Type,Intensity(12m+7m+tp),Err,EW,binVal,beamSize
circinus , "AT2020juh" , 213.337875 , -65.34130138888888 , 51.93785788436541 , 92.5424301237033 , Candidate , 4.0407205 , 1.610688 , nan , 1.0 , 0.002032163908078
circinus , "SN1996cr" , 213.29176388888888 , -65.34570462962962 , 86.56761411031889 , 84.63433198287285 , II , 186.84804 , 2.137819 , 34.56537 , 1.0 , 0.002032163908078
ngc0247 , "AT2019npi" , 11.745254166666667 , -20.708269444444444 , 175.7229173476427 , 311.8359696835978 , Candidate , 0.0 , 0.10829854 , nan , 1.0 , 0.002364257174682
ngc0247 , "AT2021wtu" , 11.784179166666668 , -20.778841666666665 , 110.18872117513737 , 184.81174077198597 , Candidate , -0.015724914 , 0.16295919 , nan , 1.0 , 0.002364257174682
ngc0253 , "AT2019npd" , 11.736295833333333 , -25.376786111111112 , 527.82046247017 , 86.1134265201371 , Candidate , 1.8310589 , 0.42675617 , 1.8044568 , 1.0 , 0.00232543637022
ngc0253 , "AT2019pck" , 11.851433333333333 , -25.226055555555554 , 340.64395858591797 , 357.55919248119864 , Candidate , nan , nan , nan , 0.0 , 0.00232543637022
ngc0253 , "AT2020hol" , 11.853916666666667 , -25.357111111111113 , 336.54099737127774 , 121.66030472885404 , Candidate , 0.7982931 , 0.9083298 , nan , 1.0 , 0.00232543637022
ngc0253 , "SN1940E" , 11.878291666666666 , -25.293444444444447 , 296.9010534051223 , 236.26662905273994 , I , 219.30367 , 1.465811 , 45.862267 , 1.0 , 0.00232543637022
ngc0300 , "SN2019qyl" , 13.739875 , -37.644441666666665 , 124.97990204934794 , 202.45166439134732 , IIn/LBV , -0.41793606 , 0.4800788 , nan , 0.96967435 , 0.002271061982879
ngc0628 , "SN2013ej" , 24.200666666666667 , 15.758611111111112 , 333.46022572413716 , 356.77980642079694 , II , 5.7713037 , 1.9949342 , nan , 0.9998133 , 0.0003114595189268
ngc0628 , "SN2003gd" , 24.17770555555555 , 15.738966666666665 , 731.2194668126835 , 3.1507247878103044 , II , nan , nan , nan , 5.686179e-06 , 0.0003114595189268
