Galaxy,SN Name,SN Type,ra,Dec,xCoord,yCoord,co21int,co21err,co21ew,beamsize
circinus,AT2020juh,Candidate,213.3379,-65.3413,51.93785788436541,92.5424301237033,4.5456676,1.311794,nan,0.002032163908078
circinus,SN1996cr,II,213.2918,-65.3457,86.56761411031889,84.63433198287285,186.84804,2.137819,34.56537,0.002032163908078
ngc0247,AT2019npi,Candidate,11.7453,-20.7083,175.7229173476427,311.8359696835978,0.0,0.10829854,nan,0.002364257174682
ngc0253,AT2019npd,Candidate,11.7363,-25.3768,527.82046247017,86.1134265201371,1.7295623,0.37351817,1.8044568,0.00232543637022
ngc0253,AT2020hol,Candidate,11.8539,-25.3571,336.54099737127774,121.66030472885404,0.23782109,0.63490534,nan,0.00232543637022
ngc0253,AT2019pck,Candidate,11.8514,-25.2261,340.64395858591797,357.55919248119864,nan,nan,nan,0.00232543637022
ngc0253,SN1940E,I,11.8783,-25.2934,296.9010534051223,236.26662905273994,218.98796,1.4441332,45.862267,0.00232543637022
ngc0300,SN2019qyl,IIn/LBV,13.7399,-37.6444,124.97990204934794,202.45166439134732,-0.5273654,0.45072383,nan,0.002271061982879
ngc0628,SN2013ej,II,24.2007,15.7586,333.46022572413716,356.77980642079694,0.9655536,1.4078557,nan,0.0003114595189268
ngc0628,SN2003gd,II,24.1777,15.739,731.2194668126835,3.1507247878103044,nan,nan,nan,0.0003114595189268
ngc0628,SN2019krl,IIn/LBV,24.2068,15.7795,227.48504797816918,732.1448775793053,1.3992676,1.0197889,nan,0.0003114595189268
ngc1087,SN1995V,II,41.6115,-0.4988,161.4198245203906,287.6499560537321,11.794075,1.0422765,5.175495,0.0004451676280474
ngc1097,SN1999eu,II,41.5866,-30.3184,245.2470996170838,7.223039949207134,0.0,0.7541714,nan,0.0004711325009833
ngc1097,SN1992bd,II,41.5792,-30.2756,291.5099030167368,315.426803230518,296.06226,2.0188875,45.82589,0.0004711325009833
ngc1365,SN2012fr,Ia,53.4006,-36.1268,390.2906744443858,389.8499395285312,-2.3150725,1.1174963,nan,0.0003829740084505
ngc1365,SN2001du,II,53.3713,-36.1421,673.9024849664049,205.70404673775522,3.0703216,1.3357118,nan,0.0003829740084505
ngc1365,SN1983V,Ic,53.3819,-36.1486,571.5153905023813,127.96380165601636,5.781725,1.1458964,3.55028,0.0003829740084505
ngc1433,SN1985P,II,55.5264,-47.21,263.1913087181251,432.8497774993816,0.263965,0.58992827,nan,0.0003049153591757
ngc1511,SN1935C,unclassified,59.9373,-67.6374,112.46713980638378,194.45954575675466,2.5883038,0.76610756,nan,0.0004017774799122
ngc1559,SN2009ib,II,64.4167,-62.7776,299.57218832743223,427.403589217835,3.5123987,1.2494718,2.8059413,0.0003463939709418
ngc1559,SN2005df,Ia,64.4077,-62.7693,348.8486348837993,527.3802225660572,0.0,0.43404207,nan,0.0003463939709418
ngc1559,SN1986L,II,64.374,-62.7846,534.0347426789208,343.2629591363379,1.4593294,1.2151972,nan,0.0003463939709418
ngc1559,SN1984J,II,64.3981,-62.7855,401.8666980189084,333.24994708294645,14.340408,1.563591,4.6562567,0.0003463939709418
ngc1566,ASASSN-14ha,II,65.0059,-54.9381,258.9038295074317,423.1062029210927,68.05383,1.8849889,12.188041,0.0003484111476313
ngc1566,SN2010el,Ia-02cx,64.9951,-54.944,333.0888088615794,351.7049348962778,15.126432,1.4931785,6.447685,0.0003484111476313
ngc1637,SN1999em,II,70.3629,-2.8626,366.390481532442,201.78455433264878,2.9875822,0.48953336,3.6040678,0.0003862486059138
ngc1672,SN2017gax,Ib/c,71.4561,-59.2451,141.99209028039974,128.8067849585691,7.5910697,0.95719075,5.087848,0.0005367684873776
ngc2775,SN1993Z,Ia,137.5816,7.0278,238.87645821251908,127.10339065992463,0.04420813,1.7344321,nan,0.0003033655107496
ngc2997,SN2003jg,Ic,146.4086,-31.1891,585.4652091010014,576.33452414425,107.84368,1.0240551,12.296705,0.0004911204571882
ngc2997,SN2008eh,unclassified,146.4507,-31.1791,153.98999644262688,695.4058331767972,15.87045,0.5928071,5.444655,0.0004911204571882
ngc3239,SN2012A,II,156.2808,17.1541,154.78836138615736,47.086512314478114,0.0,0.8119465,nan,0.0003561811832922
ngc3627,SN1989B,Ia,170.058,13.0053,251.5371313808383,556.7930397399508,18.840698,1.5260814,11.721322,0.0004517319625788
ngc3627,SN1997bs,IIn,170.0593,12.9721,240.2745630279348,257.98955856828013,3.3910942,1.3470774,nan,0.0004517319625788
ngc3627,SN2016cok,II,170.0797,12.9825,61.367765356577905,351.20979461614627,4.8749094,1.2110753,3.370604,0.0004517319625788
ngc3627,SN2009hd,II,170.0707,12.9796,139.6131050423376,325.1490303240861,68.404076,1.8574204,17.742697,0.0004517319625788
ngc3627,SN1973R,II,170.0481,12.9977,338.11789529651713,488.6861242824415,10.426507,1.2085319,8.859421,0.0004517319625788
