galaxy,SN_name,NatRes,NatInt,pc60Int,pc90Int,pc120Int,pc150Int,pc500Int,pc750Int,pc1000Int,pc1250Int,NatErr,pc60Err,pc90Err,pc120Err,pc150Err,pc500Err,pc750Err,pc1000Err,pc1250Err,NatEW,pc60EW,pc90EW,pc120EW,pc150EW,pc500EW,pc750EW,pc1000EW,pc1250EW,NatSNR,pc60SNR,pc90SNR,pc120SNR,pc150SNR,pc500SNR,pc750SNR,pc1000SNR,pc1250SNR,alphaCO
circinus,SN1996cr,148.96539476404914,186.84803771972656,nan,nan,nan,186.84803771972656,111.39796447753906,97.68943786621094,nan,nan,2.1378190517425537,nan,nan,nan,2.1378190517425537,0.24664470553398132,0.17664189636707306,nan,nan,34.56536865234375,nan,nan,nan,34.56536865234375,49.76144790649414,69.42247772216797,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,5.011212121095752
ngc0253,SN1940E,150.1701284517627,219.3036651611328,nan,nan,nan,219.3036651611328,153.83908081054688,153.87240600585938,nan,nan,1.465811014175415,nan,nan,nan,1.465811014175415,0.18237826228141785,0.11332354694604874,nan,nan,45.862266540527344,nan,nan,nan,45.862266540527344,60.678550720214844,65.11054229736328,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,4.478273076921023
ngc0300,SN2019qyl,82.84239405142596,-0.6273980736732483,nan,-0.6273980736732483,-0.3393101096153259,-0.10330438613891602,0.502941370010376,0.46108144521713257,nan,nan,0.49926596879959106,nan,0.49926596879959106,0.24836020171642303,0.1649596244096756,0.03243602439761162,0.025462361052632332,nan,nan,nan,nan,nan,nan,nan,6.742672920227051,6.879421234130859,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,9.413450498015168
ngc0628,SN2019krl,53.490181864724654,0.6559359431266785,0.7540172934532166,0.963236927986145,0.9129124879837036,0.762334406375885,0.4191957712173462,0.4084402322769165,nan,nan,1.2892513275146484,1.097657322883606,0.7536418437957764,0.5805757641792297,0.46779823303222656,0.13918526470661163,0.08817216753959656,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,6.892366043319281
ngc0628,SN2013ej,53.490181864724654,5.771303653717041,4.944133281707764,2.7272579669952393,1.8072082996368408,1.341525912284851,0.6933073997497559,0.5306633114814758,nan,nan,1.9949342012405396,1.7279061079025269,1.2605571746826172,1.0164546966552734,0.8571658730506897,0.18906767666339874,0.1100897341966629,nan,nan,nan,nan,nan,nan,nan,nan,1.9705547094345093,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,7.274922328337008
ngc1068,SN2018ivc,588.6196760664847,127.7774887084961,nan,nan,nan,nan,nan,128.53480529785156,nan,nan,0.6721417903900146,nan,nan,nan,nan,nan,0.4782250225543976,nan,nan,32.07529830932617,nan,nan,nan,nan,nan,36.46405792236328,nan,nan,0.0,nan,nan,nan,nan,nan,0.0,nan,nan,6.692307692307692
ngc1087,SN1995V,123.1488071983115,15.466903686523438,nan,nan,15.466903686523438,12.753849029541016,4.536659240722656,4.371304512023926,nan,nan,1.1405595541000366,nan,nan,1.1405595541000366,0.9069606065750122,0.2801399230957031,0.1639837622642517,nan,nan,6.007981300354004,nan,nan,6.007981300354004,6.287197589874268,8.803016662597656,14.90282154083252,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.6412306805812955
ngc1097,SN1999eu,111.66580536484963,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.7541713714599609,nan,nan,0.7541713714599609,0.5342973470687866,0.12150260806083679,0.06001226231455803,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,10.910709514032963
ngc1097,SN1992bd,111.66580536484963,282.0977783203125,nan,nan,282.0977783203125,260.3741149902344,223.9143524169922,193.74581909179688,nan,nan,2.054412841796875,nan,nan,2.054412841796875,1.491909384727478,0.4566611051559448,0.2543865442276001,nan,nan,46.925418853759766,nan,nan,46.925418853759766,49.31303024291992,98.3154525756836,110.4483871459961,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.205018277201822
ngc1365,SN2001du,130.80896025947337,3.070321559906006,nan,nan,3.070321559906006,2.8034262657165527,2.4074149131774902,2.733246326446533,nan,nan,1.3357118368148804,nan,nan,1.3357118368148804,1.1442593336105347,0.37751707434654236,0.27068665623664856,nan,nan,nan,nan,nan,nan,nan,4.935729026794434,6.934535026550293,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.107742953644178
ngc1365,SN1983V,130.80896025947337,5.4635701179504395,nan,nan,5.4635701179504395,5.265270233154297,4.432641506195068,3.433601140975952,nan,nan,1.1439259052276611,nan,nan,1.1439259052276611,0.9760870933532715,0.31946268677711487,0.2068311721086502,nan,nan,2.933166742324829,nan,nan,2.933166742324829,3.6586058139801025,6.8307576179504395,7.752464294433594,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,5.229712437371014
ngc1365,SN2012fr,130.80896025947337,-2.8842592239379883,nan,nan,-2.8842592239379883,-2.5313384532928467,0.5143470168113708,0.9956735968589783,nan,nan,1.1017647981643677,nan,nan,1.1017647981643677,0.9228527545928955,0.35293927788734436,0.23430968821048737,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.811777788185384
ngc1433,SN1985P,99.14470471842597,0.26396501064300537,nan,0.26396501064300537,0.27373164892196655,0.23631656169891357,0.3067995011806488,0.3230755925178528,nan,nan,0.5899282693862915,nan,0.5899282693862915,0.47403430938720703,0.38761022686958313,0.1508554369211197,0.09157858043909073,nan,nan,nan,nan,nan,nan,nan,nan,1.8459019660949707,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.3042105604057115
ngc1511,SN1935C,107.1485534400328,2.5365307331085205,nan,nan,2.2158656120300293,1.6356202363967896,0.9448716640472412,1.5689282417297363,nan,nan,0.7649294137954712,nan,nan,0.6497625112533569,0.5155167579650879,0.16385939717292786,0.10642682760953903,nan,nan,nan,nan,nan,nan,nan,4.277022838592529,15.667864799499512,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,8.975586228757539
ngc1559,SN1984J,117.52870547054496,14.340408325195312,nan,nan,14.340408325195312,13.6697416305542,8.666851043701172,8.75779914855957,nan,nan,1.5635910034179688,nan,nan,1.5635910034179688,1.1760135889053345,0.46054497361183167,0.3036874532699585,nan,nan,4.656256675720215,nan,nan,4.656256675720215,5.349282741546631,9.73187255859375,12.441865921020508,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.970982697002485
ngc1559,SN1986L,117.52870547054496,2.4278452396392822,nan,nan,2.4278452396392822,2.2923872470855713,1.638938069343567,1.7214066982269287,nan,nan,1.2112221717834473,nan,nan,1.2112221717834473,0.9167561531066895,0.3679618835449219,0.2284896969795227,nan,nan,nan,nan,nan,nan,nan,nan,1.7739157676696777,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,7.557693438434565
ngc1559,SN2005df,117.52870547054496,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,0.4340420663356781,nan,nan,0.4340420663356781,0.3326946198940277,0.11673393100500107,0.07273727655410767,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,10.677950871542286
ngc1559,SN2009ib,117.52870547054496,3.0266318321228027,nan,nan,3.0266318321228027,3.6781487464904785,4.007073879241943,4.907902240753174,nan,nan,1.2478392124176025,nan,nan,1.2478392124176025,0.932989776134491,0.37360942363739014,0.2409023493528366,nan,nan,nan,nan,nan,nan,4.369989395141602,9.937430381774902,13.72153091430664,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.281016444799249
ngc1566,SN2010el,107.5715044627487,15.126432418823242,nan,nan,14.735435485839844,14.904770851135254,14.544883728027344,14.950942993164062,nan,nan,1.4931784868240356,nan,nan,1.3253341913223267,1.085461139678955,0.3933194875717163,0.24152269959449768,nan,nan,6.4476847648620605,nan,nan,7.41393518447876,9.033162117004395,14.209155082702637,15.788019180297852,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.566292110332487
ngc1566,ASASSN-14ha,107.5715044627487,68.0538330078125,nan,nan,65.95396423339844,61.926334381103516,27.371265411376953,26.06928253173828,nan,nan,1.8849889039993286,nan,nan,1.6742128133773804,1.3591481447219849,0.5764862298965454,0.3906446397304535,nan,nan,12.188040733337402,nan,nan,12.932862281799316,13.762829780578613,19.730430603027344,29.85703468322754,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.304510126195559
ngc1637,SN1999em,78.8733258817267,2.987582206726074,nan,2.987360954284668,2.8223254680633545,2.7754342555999756,3.757841110229492,3.800213098526001,nan,nan,0.48953336477279663,nan,0.4074212312698364,0.2944546937942505,0.23863224685192108,0.06873433291912079,0.04259759560227394,nan,nan,3.604067802429199,nan,3.674030065536499,3.742617607116699,3.950456380844116,6.500604629516602,7.9651899337768555,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,7.175571230787801
ngc1672,SN2017gax,181.746522057697,7.59106969833374,nan,nan,nan,nan,4.8297224044799805,3.625150680541992,nan,nan,0.957190752029419,nan,nan,nan,nan,0.3606569766998291,0.22742220759391785,nan,nan,5.08784818649292,nan,nan,nan,nan,6.036718368530273,6.427026748657227,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,5.932093701759772
ngc2775,SN1993Z,122.57293004001274,-0.38350942730903625,nan,nan,-0.38350942730903625,0.15208368003368378,1.6620205640792847,2.2683489322662354,nan,nan,1.6052350997924805,nan,nan,1.6052350997924805,1.294608473777771,0.5781271457672119,0.363608717918396,nan,nan,nan,nan,nan,nan,nan,3.4430792331695557,5.321804523468018,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.692307692307692
ngc2997,SN2003jg,120.5176661654163,106.30928039550781,nan,nan,106.30928039550781,101.06683349609375,49.6731071472168,40.40896224975586,nan,nan,1.0251078605651855,nan,nan,1.0251078605651855,0.7879161834716797,0.21658559143543243,0.11222947388887405,nan,nan,11.921133041381836,nan,nan,11.921133041381836,12.913503646850586,18.985553741455078,22.12933349609375,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.472491943126883
ngc2997,SN2008eh,120.5176661654163,14.217580795288086,nan,nan,14.217580795288086,13.199077606201172,9.834598541259766,7.651192665100098,nan,nan,0.579703688621521,nan,nan,0.579703688621521,0.47110703587532043,0.1431635171175003,0.07511842995882034,nan,nan,5.487145900726318,nan,nan,5.487145900726318,5.907916069030762,9.295985221862793,10.870308876037598,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,7.389627713669205
ngc3239,SN2012A,67.5115633894789,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.7931506037712097,nan,0.6394544839859009,0.5552335381507874,0.508427619934082,0.15403300523757935,0.05687533691525459,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,7.401321177069192
ngc3627,SN2009hd,89.24925814494215,68.4040756225586,nan,68.4040756225586,96.10420989990234,114.62438201904297,101.57869720458984,74.06405639648438,nan,nan,1.8574204444885254,nan,1.8574204444885254,1.3205764293670654,1.055745005607605,0.2811008095741272,0.1413687765598297,nan,nan,17.74269676208496,nan,17.74269676208496,23.34103012084961,26.022382736206055,39.29839324951172,41.27503204345703,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.209095199661746
ngc3627,SN1997bs,89.24925814494215,3.391094207763672,nan,3.391094207763672,4.762941837310791,5.636970520019531,4.77057409286499,3.622406244277954,nan,nan,1.3470773696899414,nan,1.3470773696899414,0.9976567625999451,0.8003599047660828,0.22380056977272034,0.12168622016906738,nan,nan,nan,nan,nan,4.988126754760742,5.949195861816406,9.126289367675781,10.854447364807129,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.467312712168802
ngc3627,SN1973R,89.24925814494215,10.67368221282959,nan,10.67368221282959,11.446990013122559,11.580377578735352,12.204277038574219,13.948287010192871,nan,nan,1.2065352201461792,nan,1.2065352201461792,0.8180518746376038,0.6324599385261536,0.15248985588550568,0.08490879088640213,nan,nan,8.912955284118652,nan,8.912955284118652,10.34438705444336,10.452491760253906,14.820991516113281,17.878705978393555,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.773317870906193
ngc3627,SN1989B,89.24925814494215,10.174712181091309,nan,10.174712181091309,18.16578483581543,28.70233726501465,48.97196578979492,40.35535430908203,nan,nan,1.5123999118804932,nan,1.5123999118804932,1.0469022989273071,0.8068487644195557,0.16928152740001678,0.08040833473205566,nan,nan,4.702906131744385,nan,4.702906131744385,14.300390243530273,19.218685150146484,31.298355102539062,36.395015716552734,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.053702344155017
ngc3627,SN2016cok,89.24925814494215,5.635207653045654,nan,5.635207653045654,5.622877597808838,5.222754001617432,5.127786159515381,4.81063175201416,nan,nan,1.2083773612976074,nan,1.2083773612976074,0.8673669099807739,0.687687337398529,0.2002759575843811,0.11007487028837204,nan,nan,3.4816348552703857,nan,3.4816348552703857,4.639389991760254,5.337199687957764,10.03156852722168,12.52772331237793,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,6.168073625198267
ngc4254,SN1972Q,113.13377612114876,2.5922839641571045,nan,nan,2.5922839641571045,2.2311129570007324,1.260035753250122,1.2117962837219238,nan,nan,0.6337419748306274,nan,nan,0.6337419748306274,0.44253838062286377,0.12265433371067047,0.07227424532175064,nan,nan,1.7487493753433228,nan,nan,1.7487493753433228,2.9733145236968994,6.8195881843566895,7.095390319824219,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,11.259946644461529
ngc4254,SN1967H,113.13377612114876,13.982136726379395,nan,nan,13.982136726379395,14.161813735961914,12.64480972290039,13.593912124633789,nan,nan,0.8320840001106262,nan,nan,0.8320840001106262,0.5895201563835144,0.16901391744613647,0.09056958556175232,nan,nan,5.941089630126953,nan,nan,5.941089630126953,5.704648971557617,8.545672416687012,10.45429801940918,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.0884549419342555
ngc4254,SN2014L,113.13377612114876,43.08329391479492,nan,nan,43.08329391479492,45.09716796875,37.587059020996094,30.597898483276367,nan,nan,1.0075488090515137,nan,nan,1.0075488090515137,0.729851484298706,0.19143351912498474,0.10414031147956848,nan,nan,7.91919469833374,nan,nan,7.91919469833374,8.315178871154785,12.341151237487793,15.408178329467773,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,5.042950903630398
ngc4254,SN1986I,113.13377612114876,8.620243072509766,nan,nan,8.620243072509766,10.533950805664062,17.735057830810547,17.402164459228516,nan,nan,0.9040043354034424,nan,nan,0.9040043354034424,0.6624098420143127,0.18874725699424744,0.10236024111509323,nan,nan,5.84504508972168,nan,nan,5.84504508972168,6.830017566680908,12.275113105773926,14.352664947509766,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,5.980804029763509
ngc4303,SN2006ov,149.34385530047734,-0.6275933384895325,nan,nan,nan,-0.6275933384895325,5.2003703117370605,5.999191761016846,nan,nan,1.2511787414550781,nan,nan,nan,1.2511787414550781,0.3406021296977997,0.20027238130569458,nan,nan,nan,nan,nan,nan,nan,6.076566696166992,7.420620441436768,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,5.457735992926019
ngc4303,SN2020jfo,149.34385530047734,1.0464355945587158,nan,nan,nan,1.0464355945587158,2.5613107681274414,3.167485475540161,nan,nan,0.9930329918861389,nan,nan,nan,0.9930329918861389,0.29517826437950134,0.18679603934288025,nan,nan,nan,nan,nan,nan,nan,5.4874982833862305,7.451867580413818,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,6.0190855883983465
ngc4303,SN2014dt,149.34385530047734,0.8307925462722778,nan,nan,nan,0.8307925462722778,7.27439022064209,8.040553092956543,nan,nan,0.9785051345825195,nan,nan,nan,0.9785051345825195,0.279212087392807,0.15858322381973267,nan,nan,nan,nan,nan,nan,nan,6.591657638549805,8.04549789428711,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,5.104173772445875
ngc4303,SN1964F,149.34385530047734,2.975910186767578,nan,nan,nan,2.975910186767578,6.090780735015869,4.776100158691406,nan,nan,0.9925743341445923,nan,nan,nan,0.9925743341445923,0.2748347222805023,0.15947093069553375,nan,nan,2.239532709121704,nan,nan,nan,2.239532709121704,6.139101982116699,6.753955841064453,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,4.9208144479302565
ngc4303,SN1961I,149.34385530047734,1.7587852478027344,nan,nan,nan,1.7587852478027344,1.9040347337722778,1.7921884059906006,nan,nan,1.951517939567566,nan,nan,nan,1.951517939567566,0.44509726762771606,0.2075202912092209,nan,nan,nan,nan,nan,nan,nan,nan,3.640650749206543,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,6.380864143667923
ngc4303,SN1999gn,149.34385530047734,6.382997035980225,nan,nan,nan,6.382997035980225,9.377272605895996,7.970437049865723,nan,nan,0.9014947414398193,nan,nan,nan,0.9014947414398193,0.2384788542985916,0.1325761377811432,nan,nan,3.0565872192382812,nan,nan,nan,3.0565872192382812,6.591360569000244,7.685065269470215,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,5.367756652422198
ngc4303,SN1926A,149.34385530047734,-0.7315931916236877,nan,nan,nan,-0.7315931916236877,0.13160844147205353,0.38786447048187256,nan,nan,0.8364595770835876,nan,nan,nan,0.8364595770835876,0.30151838064193726,0.19038888812065125,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,6.037231630177928
ngc4321,SN2006X,122.89275219530901,0.12854556739330292,nan,nan,0.12854556739330292,0.65531986951828,4.459993839263916,4.8892436027526855,nan,nan,1.1225894689559937,nan,nan,1.1225894689559937,0.9004871845245361,0.24524268507957458,0.12679924070835114,nan,nan,nan,nan,nan,nan,nan,8.72553825378418,9.433574676513672,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,5.307565412989899
ngc4321,SN1959E,122.89275219530901,18.02511978149414,nan,nan,18.02511978149414,17.461816787719727,13.887474060058594,12.916528701782227,nan,nan,1.2416002750396729,nan,nan,1.2416002750396729,0.9864739775657654,0.25559762120246887,0.13395258784294128,nan,nan,7.186051845550537,nan,nan,7.186051845550537,7.293866157531738,10.673908233642578,12.660531044006348,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,5.659849041259581
ngc4321,SN2020oi,122.89275219530901,14.004268646240234,nan,nan,14.004268646240234,18.59952735900879,108.41178131103516,107.30286407470703,nan,nan,2.04585599899292,nan,nan,2.04585599899292,1.651200294494629,0.5148394703865051,0.29392296075820923,nan,nan,10.249046325683594,nan,nan,10.249046325683594,12.527762413024902,44.11170959472656,49.51082229614258,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.245052818092701
ngc4321,SN1979C,122.89275219530901,1.8605809211730957,nan,nan,1.8605809211730957,1.526490569114685,1.8522909879684448,1.7520089149475098,nan,nan,0.7929722666740417,nan,nan,0.7929722666740417,0.6456928849220276,0.1986272931098938,0.10328858345746994,nan,nan,nan,nan,nan,nan,nan,5.667973518371582,6.304020881652832,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.532109250616642
ngc4321,SN1901B,122.89275219530901,5.6628522872924805,nan,nan,5.6628522872924805,5.4790143966674805,6.016371250152588,5.822849273681641,nan,nan,1.029056191444397,nan,nan,1.029056191444397,0.8251489996910095,0.23007987439632416,0.13967318832874298,nan,nan,2.744281053543091,nan,nan,2.744281053543091,4.029609203338623,10.151252746582031,13.131563186645508,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,7.542486704286047
ngc4321,SN2019ehk,122.89275219530901,1.5133963823318481,nan,nan,1.5133963823318481,0.8952587246894836,2.3367867469787598,2.8451578617095947,nan,nan,1.640323281288147,nan,nan,1.640323281288147,1.2844109535217285,0.3841516077518463,0.22884510457515717,nan,nan,5.009367942810059,nan,nan,5.009367942810059,4.499788761138916,5.565593719482422,8.745107650756836,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,4.702632352030898
ngc4424,SN2012cg,89.44565876868351,-0.5228589773178101,nan,-0.5228589773178101,-0.7047737836837769,-0.5922697186470032,0.04811475798487663,0.5541778206825256,nan,nan,0.9770577549934387,nan,0.9770577549934387,0.695030152797699,0.5767430067062378,0.23112614452838898,0.15170042216777802,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,5.772440973435159
ngc4457,SN2020nvb,81.33289080602722,14.789048194885254,nan,14.358511924743652,13.185251235961914,12.403838157653809,23.569425582885742,26.61707878112793,nan,nan,2.2111451625823975,nan,1.9452532529830933,1.473581075668335,1.22211754322052,0.4214463531970978,0.22742220759391785,nan,nan,6.346347808837891,nan,6.596534729003906,7.62722635269165,8.198078155517578,36.12444305419922,48.075889587402344,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,4.6830318889565286
ngc4496a,SN1988M,90.32171534735664,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,0.5231253504753113,nan,0.5231253504753113,0.40037479996681213,0.3458735942840576,0.15175065398216248,0.09143877774477005,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,14.548864456915954
ngc4496a,SN1960F,90.32171534735664,-0.14958108961582184,nan,-0.14958108961582184,0.0033578493166714907,0.011322998441755772,2.1311988830566406,1.8560802936553955,nan,nan,0.8218817710876465,nan,0.8218817710876465,0.6448138952255249,0.5600752830505371,0.21820303797721863,0.14184796810150146,nan,nan,nan,nan,nan,nan,nan,6.038199424743652,6.539390563964844,nan,nan,0.0,nan,0.0,0.0,0.0,0.0,0.0,nan,nan,8.54564705154689
ngc4536,SN1981B,116.31021061381435,0.042755257338285446,nan,nan,0.042755257338285446,0.20091287791728973,0.29667893052101135,0.25544601678848267,nan,nan,0.33802133798599243,nan,nan,0.33802133798599243,0.25582557916641235,0.08579570055007935,0.04871013015508652,nan,nan,nan,nan,nan,nan,nan,nan,1.6934887170791626,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,10.349209231572438
ngc4579,SN1988A,182.65057736985878,0.7424981594085693,nan,nan,nan,nan,1.7321408987045288,1.818114995956421,nan,nan,0.5541307330131531,nan,nan,nan,nan,0.21966777741909027,0.1356523185968399,nan,nan,nan,nan,nan,nan,nan,4.34444522857666,6.7219696044921875,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,5.5280728833988375
ngc4579,SN1989M,182.65057736985878,6.764846324920654,nan,nan,nan,nan,3.717038154602051,3.2097177505493164,nan,nan,0.557327926158905,nan,nan,nan,nan,0.2321893274784088,0.14393402636051178,nan,nan,4.653823375701904,nan,nan,nan,nan,6.839446544647217,9.868728637695312,nan,nan,0.0,nan,nan,nan,nan,0.0,0.0,nan,nan,5.239052101846892
ngc4945,SN2011ja,132.8612454319675,48.651939392089844,nan,nan,48.651939392089844,48.277645111083984,29.192386627197266,21.839136123657227,nan,nan,0.7248021364212036,nan,nan,0.7248021364212036,0.5998762249946594,0.09169463813304901,0.06341568380594254,nan,nan,11.348099708557129,nan,nan,11.348099708557129,11.618279457092285,22.94391632080078,29.85637092590332,nan,nan,0.0,nan,nan,0.0,0.0,0.0,0.0,nan,nan,6.692307692307692
ngc5128,SN1986G,145.48273291568873,9.314562797546387,nan,nan,nan,9.314562797546387,14.890734672546387,17.228103637695312,nan,nan,0.9835507869720459,nan,nan,nan,0.9835507869720459,0.12011269479990005,0.08458099514245987,nan,nan,8.594614028930664,nan,nan,nan,8.594614028930664,36.90363693237305,48.203948974609375,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,6.692307692307692
ngc5128,SN2016adj,145.48273291568873,67.5713119506836,nan,nan,nan,67.5713119506836,67.86510467529297,53.374263763427734,nan,nan,1.4254164695739746,nan,nan,nan,1.4254164695739746,0.17181427776813507,0.11165882647037506,nan,nan,35.12788009643555,nan,nan,nan,35.12788009643555,67.25611877441406,84.099365234375,nan,nan,0.0,nan,nan,nan,0.0,0.0,0.0,nan,nan,6.692307692307692
ngc5236,SN1957D,50.69968757298903,41.32082748413086,38.47781753540039,31.9638671875,27.746055603027344,24.640588760375977,11.980267524719238,9.125162124633789,nan,nan,0.6190958023071289,0.5349265336990356,0.38571351766586304,0.29857003688812256,0.24190394580364227,0.039763133972883224,0.021127168089151382,nan,nan,5.340254306793213,5.422938346862793,5.8041486740112305,6.14930534362793,6.498789310455322,9.267144203186035,9.767258644104004,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,6.692307692307692
ngc5236,SN1923A,50.69968757298903,3.1662843227386475,2.982912540435791,2.6480391025543213,2.569227695465088,2.6020655632019043,4.148641109466553,4.5491557121276855,nan,nan,0.6370633244514465,0.5877888202667236,0.46251943707466125,0.36471322178840637,0.2875167727470398,0.03622424229979515,0.017963431775569916,nan,nan,6.310522079467773,5.9792962074279785,5.600820541381836,6.416561603546143,7.461651802062988,6.986499786376953,7.857295036315918,nan,nan,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,6.692307692307692
