Galaxy,SN_name,SNType,Sigma Mol Per Beam,Sigma Mol Per Pixel,Detection,dist_mpc,incl,alphaCO,pixPerBeam
circinus,SN1996cr,II,402.61,26.19,Detection,4.2,64.3,4.968773833170559,15.372292257453731
ngc0253,SN1940E,I,254.28,12.84,Detection,3.7,75.0,4.479999295527333,19.807687028596337
ngc0628,SN2013ej,II,18.48,0.07,NonDetection,9.84,8.9,7.274922328334363,280.0573767903157
ngc1068,SN2018ivc,II,nan,nan,NonDetection,nan,34.7,6.692307692307692,nan
ngc1087,SN1995V,II,61.94,1.29,Detection,15.85,42.9,6.629858070576079,47.97292093600939
ngc1097,SN1999eu,II,11.57,0.49,NonDetection,13.58,48.6,10.912807259453894,23.52651806858686
ngc1097,SN1992bd,II,724.3,30.79,Detection,13.58,48.6,4.206428083333224,23.52651806858686
ngc1365,SN2001du,II,11.9,0.38,NonDetection,19.57,55.4,6.1035414066894775,31.46828277001683
ngc1365,SN1983V,Ic,15.63,0.5,Detection,19.57,55.4,5.226342740029572,31.46828277001683
ngc1365,SN2012fr,Ia,7.56,0.24,NonDetection,19.57,55.4,4.810275129364102,31.46828277001683
ngc1433,SN1985P,II,6.06,0.17,NonDetection,18.63,28.6,5.304207211252953,34.72393907473135
ngc1511,SN1935C,unclassified,4.49,0.09,NonDetection,15.28,72.7,8.97558622877149,51.618809833571845
ngc1559,SN1984J,II,28.2,0.88,Detection,19.44,65.4,4.970982697000855,31.890562101619572
ngc1559,SN1986L,II,9.03,0.28,NonDetection,19.44,65.4,7.557693438435582,31.890562101619572
ngc1559,SN2005df,Ia,4.44,0.14,NonDetection,19.44,65.4,10.677950871542432,31.890562101619572
ngc1559,SN2009ib,II,9.62,0.3,Detection,19.44,65.4,6.281016444796072,31.890562101619572
ngc1566,ASASSN-14ha,II,230.25,5.98,Detection,17.69,29.5,4.303624864500136,38.51226218338703
ngc1566,SN2010el,Ia,61.11,1.59,Detection,17.69,29.5,4.5681594755839585,38.51226218338703
ngc1637,SN1999em,II,18.26,0.21,Detection,11.7,31.1,7.200359490582034,88.04059558657772
ngc1672,SN2017gax,Ib/c,nan,nan,NonDetection,nan,42.6,6.692307692307692,nan
ngc2775,SN1993Z,Ia,16.0,0.71,NonDetection,23.15,41.2,5.474581647808236,22.48809693537148
ngc2997,SN2008eh,unclassified,81.79,1.34,Detection,14.06,33.0,7.38683854666736,60.96548793044351
ngc2997,SN2003jg,Ic,379.24,6.22,Detection,14.06,33.0,4.474584633626351,60.96548793044351
ngc3239,SN2012A,II,5.59,0.05,NonDetection,10.86,60.3,7.393127015214071,102.18685776318237
ngc3627,SN1989B,Ia,77.18,1.46,Detection,11.32,57.3,5.053912420921165,52.90349552950106
ngc3627,SN2016cok,II,12.13,0.23,Detection,11.32,57.3,6.169747163149507,52.90349552950106
ngc3627,SN2009hd,II,323.91,6.12,Detection,11.32,57.3,5.214173899570425,52.90349552950106
ngc3627,SN1973R,II,36.16,0.68,Detection,11.32,57.3,5.771662834988039,52.90349552950106
ngc4254,SN1967H,II,70.13,2.77,Detection,13.1,34.4,6.084862340678348,25.28218499355365
ngc4254,SN1972Q,II,19.55,0.77,Detection,13.1,34.4,11.26610251920252,25.28218499355365
ngc4254,SN1986I,II,49.19,1.95,Detection,13.1,34.4,5.976873664160871,25.28218499355365
ngc4254,SN2014L,Ic,186.42,7.37,Detection,13.1,34.4,5.041903528920723,25.28218499355365
ngc4303,SN1961I,II,34.23,1.46,NonDetection,16.99,23.5,6.37476484661066,23.484994585464147
ngc4303,SN1926A,II,16.03,0.68,NonDetection,16.99,23.5,6.0348029024172725,23.484994585464147
ngc4303,SN1999gn,II,31.42,1.34,Detection,16.99,23.5,5.367623021759306,23.484994585464147
ngc4303,SN2006ov,II,19.58,0.83,NonDetection,16.99,23.5,5.452868628705801,23.484994585464147
ngc4303,SN2020jfo,II,17.66,0.75,NonDetection,16.99,23.5,6.020168475475144,23.484994585464147
ngc4303,SN1964F,II,14.93,0.64,NonDetection,16.99,23.5,4.920706819090329,23.484994585464147
ngc4303,SN2014dt,Ia,13.98,0.6,NonDetection,16.99,23.5,5.105068947733356,23.484994585464147
ngc4321,SN1959E,I,76.85,2.62,Detection,15.21,38.5,5.666640005087388,29.303452673050817
ngc4321,SN2006X,Ia,12.85,0.44,NonDetection,15.21,38.5,5.302988049688769,29.303452673050817
ngc4321,SN2020oi,Ic,62.41,2.13,Detection,15.21,38.5,4.246785193561616,29.303452673050817
ngc4321,SN2019ehk,Ib,16.66,0.57,NonDetection,15.21,38.5,4.7004750944605895,29.303452673050817
ngc4321,SN1901B,I,34.95,1.19,Detection,15.21,38.5,7.5419200434386395,29.303452673050817
ngc4321,SN1979C,II,12.47,0.43,NonDetection,15.21,38.5,6.534167833837734,29.303452673050817
ngc4424,SN2012cg,Ia,5.5,0.12,NonDetection,16.2,58.2,5.764836533261279,45.92240942633219
ngc4457,SN2020nvb,Ia,55.46,1.05,Detection,15.1,17.4,4.685476556256886,52.85679193827736
ngc4496a,SN1988M,II,8.92,0.16,NonDetection,14.86,53.8,14.557394028584952,54.57793207598701
ngc4496a,SN1960F,Ia,8.88,0.16,NonDetection,14.86,53.8,8.536847498143494,54.57793207598701
ngc4536,SN1981B,Ia,4.03,0.09,NonDetection,16.25,66.0,10.31176566072242,45.64024475208189
ngc4579,SN1989M,Ia,nan,nan,NonDetection,nan,40.22,6.692307692307692,nan
ngc4579,SN1988A,II,nan,nan,NonDetection,nan,40.22,6.692307692307692,nan
ngc4945,SN2011ja,II,28.19,1.25,Detection,3.47,85.0,6.7,22.52051220602146
ngc5128,SN1986G,Ia,31.69,1.59,Detection,3.69,45.33,4.838774135471994,19.91519123842244
